,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,game_id,time_in_seconds,on_name,off_name,on_id,off_id,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,team_code,team_id,team_short,missing
0,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714465,80,substitution,"Substitution, Crystal Palace. Tyrick Mitchell replaces Michael Olise.","[24334, 32989]",74953,4750,Tyrick Mitchell,Michael Olise,24334,32989,p244723,p443661,170,171,6,7,CRY,False
1,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714466,79,substitution,"Substitution, Brentford. Saman Ghoddos replaces Aaron Hickey.","[25094, 115166]",74953,4705,Saman Ghoddos,Aaron Hickey,25094,115166,p205836,p472713,87,510,130,4,BRE,False
2,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714468,79,substitution,"Substitution, Brentford. Yoane Wissa replaces Mathias Jensen.","[117497, 49726]",74953,4691,Yoane Wissa,Mathias Jensen,117497,49726,p216646,p207283,89,88,130,4,BRE,False
3,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714451,76,substitution,"Substitution, Crystal Palace. Jordan Ayew replaces Eberechi Eze.","[5595, 21584]",74953,4529,Jordan Ayew,Eberechi Eze,5595,21584,p80146,p232413,159,169,6,7,CRY,False
4,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714452,76,substitution,"Substitution, Crystal Palace. Luka Milivojevic replaces Jeffrey Schlupp.","[5859, 8980]",74953,4508,Luka Milivojevic,Jeffrey Schlupp,5859,8980,p66975,p86417,158,161,6,7,CRY,False
5,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714429,68,substitution,"Substitution, Brentford. Josh Dasilva replaces Keane Lewis-Potter.","[14457, 24369]",74953,4064,Josh Dasilva,Keane Lewis-Potter,14457,24369,p183656,p249231,83,515,130,4,BRE,False
6,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714431,68,substitution,"Substitution, Brentford. Frank Onyeka replaces Bryan Mbeumo.","[108612, 66360]",74953,4055,Frank Onyeka,Bryan Mbeumo,108612,66360,p428580,p446008,93,95,130,4,BRE,False
7,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714432,68,substitution,"Substitution, Brentford. Mikkel Damsgaard replaces Shandon Baptiste.","[49731, 24773]",74953,4041,Mikkel Damsgaard,Shandon Baptiste,49731,24773,p440089,p432160,580,94,130,4,BRE,False
8,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714386,54,substitution,"Substitution, Crystal Palace. Odsonne Édouard replaces Jean-Philippe Mateta.","[16788, 20874]",74953,3200,Odsonne Édouard,Jean-Philippe Mateta,16788,20874,p199670,p231747,166,168,6,7,CRY,False
9,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714520,90 +2,substitution,"Substitution, Fulham. Nathaniel Chalobah replaces Harrison Reed.","[4105, 4818]",74954,5460,Nathaniel Chalobah,Harrison Reed,4105,4818,p89085,p153366,203,211,34,9,FUL,False
10,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714458,79,substitution,"Substitution, Brighton and Hove Albion. Deniz Undav replaces Moisés Caicedo.","[114957, 112203]",74954,4730,Deniz Undav,Moisés Caicedo,114957,112203,p450434,p486672,123,120,131,5,BHA,False
11,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714449,78,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira.","[3894, 10476]",74954,4628,Tom Cairney,Andreas Pereira,3894,10476,p76357,p156689,200,346,34,9,FUL,False
12,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714405,64,substitution,"Substitution, Brighton and Hove Albion. Tariq Lamptey replaces Joël Veltman.","[23704, 4874]",74954,3783,Tariq Lamptey,Joël Veltman,23704,4874,p232792,p111478,114,109,131,5,BHA,False
13,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714403,63,substitution,"Substitution, Brighton and Hove Albion. Kaoru Mitoma replaces Pervis Estupiñán.","[117732, 31904]",74954,3768,Kaoru Mitoma,Pervis Estupiñán,117732,31904,p451340,p204214,124,586,131,5,BHA,False
14,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714404,63,substitution,"Substitution, Brighton and Hove Albion. Danny Welbeck replaces Enock Mwepu.","[3452, 25467]",74954,3750,Danny Welbeck,Enock Mwepu,3452,25467,p50175,p423649,103,118,131,5,BHA,False
15,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714555,86,substitution,"Substitution, Southampton. Lyanco replaces Adam Armstrong.","[49961, 9199]",74960,5130,Lyanco,Adam Armstrong,49961,9199,p212721,p155511,413,408,20,17,SOU,False
16,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714518,73,substitution,"Substitution, Southampton. Moussa Djenepo replaces Romain Perraud because of an injury.","[52153, 21495]",74960,4369,Moussa Djenepo,Romain Perraud,52153,21495,p431131,p244560,418,417,20,17,SOU,False
17,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714478,66,substitution,"Substitution, Chelsea. Ben Chilwell replaces Jorginho.","[13491, 5682]",74960,3959,Ben Chilwell,Jorginho,13491,5682,p172850,p85955,139,130,4,6,CHE,False
18,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714479,66,substitution,"Substitution, Chelsea. Armando Broja replaces César Azpilicueta.","[31442, 4496]",74960,3950,Armando Broja,César Azpilicueta,31442,4496,p440323,p41328,150,127,4,6,CHE,False
19,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714477,66,substitution,"Substitution, Chelsea. Christian Pulisic replaces Kai Havertz.","[15559, 20810]",74960,3947,Christian Pulisic,Kai Havertz,15559,20810,p176413,p219847,140,145,4,6,CHE,False
20,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714448,60,substitution,"Substitution, Southampton. Joe Aribo replaces Roméo Lavia because of an injury.","[13956, 99282]",74960,3542,Joe Aribo,Roméo Lavia,13956,99282,p193204,p514356,512,321,20,17,SOU,False
21,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714398,46,substitution,"Substitution, Chelsea. Mateo Kovacic replaces Ruben Loftus-Cheek because of an injury.","[12520, 5179]",74960,2700,Mateo Kovacic,Ruben Loftus-Cheek,12520,5179,p91651,p126187,132,136,4,6,CHE,False
22,5,"Tue 30 Aug 2022, 20:00 BST",Leeds United,Everton,1,1,1714574,76,substitution,"Substitution, Leeds United. Daniel James replaces Brenden Aaronson.","[13797, 63289]",74955,4542,Daniel James,Brenden Aaronson,13797,63289,p200617,p427637,231,246,9,11,LEE,False
23,5,"Tue 30 Aug 2022, 20:00 BST",Leeds United,Everton,1,1,1714573,76,substitution,"Substitution, Leeds United. Patrick Bamford replaces Joe Gelhardt.","[4291, 51754]",74955,4541,Patrick Bamford,Joe Gelhardt,4291,51754,p106617,p462635,227,242,9,11,LEE,False
24,5,"Tue 30 Aug 2022, 20:00 BST",Leeds United,Everton,1,1,1714546,64,substitution,"Substitution, Leeds United. Mateusz Klich replaces Luis Sinisterra.","[13089, 50498]",74955,3825,Mateusz Klich,Luis Sinisterra,13089,50498,p72222,p224995,223,508,9,11,LEE,False
25,5,"Tue 30 Aug 2022, 20:00 BST",Leeds United,Everton,1,1,1714362,32,substitution,"Substitution, Leeds United. Joe Gelhardt replaces Rodrigo because of an injury.","[51754, 4095]",74955,1879,Joe Gelhardt,Rodrigo,51754,4095,p462635,p80954,242,225,9,11,LEE,False
26,5,"Wed 31 Aug 2022, 19:30 BST",AFC Bournemouth,Wolverhampton Wanderers,0,0,1714978,86,substitution,"Substitution, Bournemouth. Jaidon Anthony replaces Ryan Christie.","[50460, 15572]",74952,5150,Jaidon Anthony,Ryan Christie,50460,15572,p444180,p158499,75,69,127,3,BOU,False
27,5,"Wed 31 Aug 2022, 19:30 BST",AFC Bournemouth,Wolverhampton Wanderers,0,0,1714936,77,substitution,"Substitution, Bournemouth. Kieffer Moore replaces Philip Billing.","[10076, 8882]",74952,4604,Kieffer Moore,Philip Billing,10076,8882,p128340,p168991,62,70,127,3,BOU,False
28,5,"Wed 31 Aug 2022, 19:30 BST",AFC Bournemouth,Wolverhampton Wanderers,0,0,1714903,75,substitution,"Substitution, Wolverhampton Wanderers. Adama Traoré replaces Gonçalo Guedes.","[4979, 11130]",74952,4492,Adama Traoré,Gonçalo Guedes,4979,11130,p159533,p181284,491,579,38,20,WOL,False
29,5,"Wed 31 Aug 2022, 19:30 BST",AFC Bournemouth,Wolverhampton Wanderers,0,0,1714904,75,substitution,"Substitution, Wolverhampton Wanderers. Daniel Podence replaces Matheus Nunes.","[11362, 76204]",74952,4472,Daniel Podence,Matheus Nunes,11362,76204,p200600,p465351,483,589,38,20,WOL,False
30,5,"Wed 31 Aug 2022, 19:30 BST",AFC Bournemouth,Wolverhampton Wanderers,0,0,1714876,69,substitution,"Substitution, Bournemouth. Ryan Fredericks replaces Jordan Zemura.","[3958, 49144]",74952,4087,Ryan Fredericks,Jordan Zemura,3958,49144,p81012,p447932,59,76,127,3,BOU,False
31,5,"Wed 31 Aug 2022, 19:30 BST",AFC Bournemouth,Wolverhampton Wanderers,0,0,1714846,60,substitution,"Substitution, Wolverhampton Wanderers. Rayan Aït-Nouri replaces Nélson Semedo.","[71432, 16642]",74952,3544,Rayan Aït-Nouri,Nélson Semedo,71432,16642,p448514,p200402,487,482,38,20,WOL,False
32,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714945,88,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Jesus.","[14451, 19680]",74951,5238,Eddie Nketiah,Gabriel Jesus,14451,19680,p205533,p205651,11,28,1,1,ARS,False
33,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714949,88,substitution,"Substitution, Arsenal. Rob Holding replaces Bukayo Saka.","[11575, 49481]",74951,5223,Rob Holding,Bukayo Saka,11575,49481,p156074,p223340,5,13,1,1,ARS,False
34,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714926,83,substitution,"Substitution, Aston Villa. Danny Ings replaces Boubacar Kamara.","[8245, 25067]",74951,4970,Danny Ings,Boubacar Kamara,8245,25067,p84939,p226944,30,53,2,2,AVL,False
35,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714925,81,substitution,"Substitution, Arsenal. Emile Smith Rowe replaces Martin Ødegaard because of an injury.","[14445, 11419]",74951,4845,Emile Smith Rowe,Martin Ødegaard,14445,11419,p209289,p184029,12,7,1,1,ARS,False
36,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714886,73,substitution,"Substitution, Aston Villa. Douglas Luiz replaces John McGinn.","[24626, 51423]",74951,4360,Douglas Luiz,John McGinn,24626,51423,p230046,p122806,46,37,2,2,AVL,False
37,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714889,73,substitution,"Substitution, Aston Villa. Philippe Coutinho replaces Emiliano Buendía.","[4525, 26408]",74951,4359,Philippe Coutinho,Emiliano Buendía,4525,26408,p84583,p195546,29,42,2,2,AVL,False
38,5,"Wed 31 Aug 2022, 19:30 BST",Arsenal,Aston Villa,2,1,1714861,65,substitution,"Substitution, Arsenal. Takehiro Tomiyasu replaces Ben White.","[115169, 14548]",74951,3841,Takehiro Tomiyasu,Ben White,115169,14548,p223723,p198869,14,10,1,1,ARS,False
39,5,"Wed 31 Aug 2022, 19:30 BST",Manchester City,Nottingham Forest,6,0,1714915,79,substitution,"Substitution, Nottingham Forest. Giulian Biancone replaces Cheikhou Kouyaté.","[54000, 5861]",74959,4680,Giulian Biancone,Cheikhou Kouyaté,54000,5861,p437753,p55037,399,583,15,16,NFO,False
