,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,game_id,time_in_seconds,on_name,off_name,on_id,off_id,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,team_code,team_id,team_short,missing
0,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715260,82,substitution,"Substitution, Everton. Dwight McNeil replaces Anthony Gordon.","[24797, 23747]",74965,4918,Dwight McNeil,Anthony Gordon,24797,23747,p433154,p232826,534,195,7,8,EVE,False
1,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715257,80,substitution,"Substitution, Liverpool. Diogo Jota replaces Darwin Núñez.","[19758, 70287]",74965,4747,Diogo Jota,Darwin Núñez,19758,70287,p194634,p447203,288,297,10,12,LIV,False
2,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715255,80,substitution,"Substitution, Liverpool. Joël Matip replaces Harvey Elliott.","[5375, 33185]",74965,4742,Joël Matip,Harvey Elliott,5375,33185,p60914,p444884,276,294,10,12,LIV,False
3,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715225,62,substitution,"Substitution, Everton. Idrissa Gueye replaces Tom Davies.","[12582, 13389]",74965,3665,Idrissa Gueye,Tom Davies,12582,13389,p80801,p173807,611,190,7,8,EVE,False
4,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715222,59,substitution,"Substitution, Liverpool. Andrew Robertson replaces Kostas Tsimikas.","[10458, 16006]",74965,3498,Andrew Robertson,Kostas Tsimikas,10458,16006,p122798,p214285,284,292,10,12,LIV,False
5,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715223,59,substitution,"Substitution, Liverpool. James Milner replaces Trent Alexander-Arnold.","[2100, 14732]",74965,3495,James Milner,Trent Alexander-Arnold,2100,14732,p15157,p169187,274,285,10,12,LIV,False
6,6,"Sat 3 Sep 2022, 12:30 BST",Everton,Liverpool,0,0,1715207,46,substitution,"Substitution, Liverpool. Roberto Firmino replaces Fábio Carvalho.","[13511, 32289]",74965,2700,Roberto Firmino,Fábio Carvalho,13511,32289,p92217,p244858,279,296,10,12,LIV,False
7,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715814,86,substitution,"Substitution, Leeds United. Sam Greenwood replaces Marc Roca.","[23911, 22656]",74962,5104,Sam Greenwood,Marc Roca,23911,22656,p248937,p234370,237,245,9,11,LEE,False
8,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715789,83,substitution,"Substitution, Brentford. Mikkel Damsgaard replaces Mathias Jensen.","[49731, 49726]",74962,4955,Mikkel Damsgaard,Mathias Jensen,49731,49726,p440089,p207283,580,88,130,4,BRE,False
9,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715790,83,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",74962,4939,Yoane Wissa,Bryan Mbeumo,117497,66360,p216646,p446008,89,95,130,4,BRE,False
10,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715725,70,substitution,"Substitution, Leeds United. Luke Ayling replaces Cody Drameh.","[3314, 24811]",74962,4193,Luke Ayling,Cody Drameh,3314,24811,p66588,p433590,222,547,9,11,LEE,False
11,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715704,67,substitution,"Substitution, Brentford. Zanka replaces Vitaly Janelt.","[7103, 23194]",74962,3990,Zanka,Vitaly Janelt,7103,23194,p48760,p204580,595,86,130,4,BRE,False
12,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715651,59,substitution,"Substitution, Brentford. Frank Onyeka replaces Shandon Baptiste.","[108612, 24773]",74962,3523,Frank Onyeka,Shandon Baptiste,108612,24773,p428580,p432160,93,94,130,4,BRE,False
13,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715650,59,substitution,"Substitution, Brentford. Josh Dasilva replaces Keane Lewis-Potter.","[14457, 24369]",74962,3519,Josh Dasilva,Keane Lewis-Potter,14457,24369,p183656,p249231,83,515,130,4,BRE,False
14,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715652,59,substitution,"Substitution, Leeds United. Mateusz Klich replaces Joe Gelhardt.","[13089, 51754]",74962,3516,Mateusz Klich,Joe Gelhardt,13089,51754,p72222,p462635,223,242,9,11,LEE,False
15,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715649,59,substitution,"Substitution, Leeds United. Crysencio Summerville replaces Luis Sinisterra.","[65961, 50498]",74962,3516,Crysencio Summerville,Luis Sinisterra,65961,50498,p450070,p224995,240,508,9,11,LEE,False
16,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715556,46,substitution,"Substitution, Leeds United. Patrick Bamford replaces Jack Harrison.","[4291, 33135]",74962,2700,Patrick Bamford,Jack Harrison,4291,33135,p106617,p221399,227,233,9,11,LEE,False
17,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715808,86,substitution,"Substitution, West Ham United. Maxwel Cornet replaces Pablo Fornals.","[16758, 25246]",74964,5149,Maxwel Cornet,Pablo Fornals,16758,25246,p149519,p217593,575,469,25,19,WHU,False
18,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715771,83,substitution,"Substitution, Chelsea. Jorginho replaces Ruben Loftus-Cheek.","[5682, 5179]",74964,4958,Jorginho,Ruben Loftus-Cheek,5682,5179,p85955,p126187,130,136,4,6,CHE,False
19,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715769,83,substitution,"Substitution, West Ham United. Angelo Ogbonna replaces Lucas Paquetá.","[5514, 55776]",74964,4955,Angelo Ogbonna,Lucas Paquetá,5514,55776,p40669,p224024,456,603,25,19,WHU,False
20,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715721,74,substitution,"Substitution, West Ham United. Saïd Benrahma replaces Michail Antonio.","[20517, 9595]",74964,4401,Saïd Benrahma,Michail Antonio,20517,9595,p172841,p57531,464,458,25,19,WHU,False
21,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715709,72,substitution,"Substitution, Chelsea. Kai Havertz replaces Mateo Kovacic.","[20810, 12520]",74964,4265,Kai Havertz,Mateo Kovacic,20810,12520,p219847,p91651,145,132,4,6,CHE,False
22,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715708,71,substitution,"Substitution, Chelsea. Ben Chilwell replaces Marc Cucurella.","[13491, 27277]",74964,4256,Ben Chilwell,Marc Cucurella,13491,27277,p172850,p179268,139,112,4,6,CHE,False
23,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715638,60,substitution,"Substitution, Chelsea. Mason Mount replaces Christian Pulisic.","[14580, 15559]",74964,3594,Mason Mount,Christian Pulisic,14580,15559,p184341,p176413,142,140,4,6,CHE,False
24,6,"Sat 3 Sep 2022, 15:00 BST",Chelsea,West Ham United,2,1,1715637,60,substitution,"Substitution, Chelsea. Armando Broja replaces Conor Gallagher.","[31442, 21887]",74964,3576,Armando Broja,Conor Gallagher,31442,21887,p440323,p232787,150,148,4,6,CHE,False
25,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715837,90 +2,substitution,"Substitution, Newcastle United. Chris Wood replaces Alexander Isak because of an injury.","[3756, 21737]",74967,5493,Chris Wood,Alexander Isak,3756,21737,p60689,p219168,354,594,23,15,NEW,False
26,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715757,79,substitution,"Substitution, Newcastle United. Dan Burn replaces Matt Targett.","[8707, 4815]",74967,4719,Dan Burn,Matt Targett,8707,4815,p78916,p169359,358,367,23,15,NEW,False
27,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715710,70,substitution,"Substitution, Newcastle United. Jacob Murphy replaces Miguel Almirón.","[9662, 54312]",74967,4192,Jacob Murphy,Miguel Almirón,9662,54312,p114243,p179018,365,369,23,15,NEW,False
28,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715712,70,substitution,"Substitution, Newcastle United. Elliot Anderson replaces Ryan Fraser.","[51593, 8052]",74967,4182,Elliot Anderson,Ryan Fraser,51593,8052,p215379,p90105,552,359,23,15,NEW,False
29,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715663,63,substitution,"Substitution, Crystal Palace. Nathaniel Clyne replaces Tyrick Mitchell.","[4604, 24334]",74967,3749,Nathaniel Clyne,Tyrick Mitchell,4604,24334,p57328,p244723,157,170,6,7,CRY,False
30,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715665,63,substitution,"Substitution, Crystal Palace. Odsonne Édouard replaces Jean-Philippe Mateta.","[16788, 20874]",74967,3727,Odsonne Édouard,Jean-Philippe Mateta,16788,20874,p199670,p231747,166,168,6,7,CRY,False
31,6,"Sat 3 Sep 2022, 15:00 BST",Newcastle United,Crystal Palace,0,0,1715664,62,substitution,"Substitution, Crystal Palace. Michael Olise replaces Eberechi Eze.","[32989, 21584]",74967,3718,Michael Olise,Eberechi Eze,32989,21584,p443661,p232413,171,169,6,7,CRY,False
32,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715875,90 +4,substitution,"Substitution, Bournemouth. Jack Stacey replaces Dominic Solanke.","[10881, 10443]",74968,5614,Jack Stacey,Dominic Solanke,10881,10443,p154131,p154566,65,66,127,3,BOU,False
33,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715839,90,substitution,"Substitution, Bournemouth. Kieffer Moore replaces Philip Billing.","[10076, 8882]",74968,5366,Kieffer Moore,Philip Billing,10076,8882,p128340,p168991,62,70,127,3,BOU,False
34,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715811,85,substitution,"Substitution, Bournemouth. Jaidon Anthony replaces Ryan Christie.","[50460, 15572]",74968,5069,Jaidon Anthony,Ryan Christie,50460,15572,p444180,p158499,75,69,127,3,BOU,False
35,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715810,85,substitution,"Substitution, Nottingham Forest. Emmanuel Dennis replaces Brennan Johnson.","[20701, 49374]",74968,5052,Emmanuel Dennis,Brennan Johnson,20701,49374,p230251,p242898,585,394,15,16,NFO,False
36,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715753,76,substitution,"Substitution, Nottingham Forest. Jack Colback replaces Cheikhou Kouyaté.","[3713, 5861]",74968,4554,Jack Colback,Cheikhou Kouyaté,3713,5861,p58771,p55037,381,583,15,16,NFO,False
37,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715700,67,substitution,"Substitution, Nottingham Forest. Taiwo Awoniyi replaces Jesse Lingard.","[15340, 4337]",74968,3996,Taiwo Awoniyi,Jesse Lingard,15340,4337,p210156,p109322,397,527,15,16,NFO,False
38,6,"Sat 3 Sep 2022, 15:00 BST",Nottingham Forest,AFC Bournemouth,2,3,1715563,46,substitution,"Substitution, Bournemouth. Ryan Fredericks replaces Jordan Zemura.","[3958, 49144]",74968,2700,Ryan Fredericks,Jordan Zemura,3958,49144,p81012,p447932,59,76,127,3,BOU,False
